Time_Enquired,QueryId,ResultIds,Status,Feedback
2023-08-14 11:45:52,900f756d-43f6-403b-ab43-dc7673d39386,['900f756d-43f6-403b-ab43-dc7673d39386-77be9978-10ff-46fa-827a-a8ba4fb0ce23'],RELEVANT,"{'ResponseMetadata': {'RequestId': '4f24e1f1-2b66-4c1d-843b-6512d0ee0d4d', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '4f24e1f1-2b66-4c1d-843b-6512d0ee0d4d', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:45:52 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:46:22,900f756d-43f6-403b-ab43-dc7673d39386,['900f756d-43f6-403b-ab43-dc7673d39386-77be9978-10ff-46fa-827a-a8ba4fb0ce23'],RELEVANT,"{'ResponseMetadata': {'RequestId': '6e9fed53-dbcf-47b6-93fc-fc1be95ba131', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '6e9fed53-dbcf-47b6-93fc-fc1be95ba131', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:46:21 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:47:15,0814803b-da60-4f7f-951b-f0c8fd009d36,['0814803b-da60-4f7f-951b-f0c8fd009d36-aca60e8b-da7c-4a93-9b45-fd7ba7a2129b'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '244498b6-f9c0-4d26-b331-1cf56f429115', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '244498b6-f9c0-4d26-b331-1cf56f429115', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:47:14 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:52:40,ae70adac-ccc7-44ff-ba56-99cba2c4570e,['ae70adac-ccc7-44ff-ba56-99cba2c4570e-e9c390fc-2317-484e-9c0d-0b02d31ca0d2'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '54718bf0-4843-4690-8ef5-5438d7d6b151', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '54718bf0-4843-4690-8ef5-5438d7d6b151', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:52:40 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:52:41,8815dec3-8a96-4fa6-91f4-55ad6d0b21a1,['8815dec3-8a96-4fa6-91f4-55ad6d0b21a1-bd18d28c-a3dd-4857-89e9-ef8c8f9e5536'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': 'febecaba-b1df-401f-af92-eb5a33bc23b2', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'febecaba-b1df-401f-af92-eb5a33bc23b2', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:52:40 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:53:12,1deb34bf-b5c7-4a26-b43e-d6b833049656,['1deb34bf-b5c7-4a26-b43e-d6b833049656-fd84ab05-cdff-46d7-bc4e-1dd33518cb59'],RELEVANT,"{'ResponseMetadata': {'RequestId': '5f9e3dfc-e18d-4a09-aaf7-049fa8325a53', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '5f9e3dfc-e18d-4a09-aaf7-049fa8325a53', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:53:11 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:53:17,1deb34bf-b5c7-4a26-b43e-d6b833049656,['1deb34bf-b5c7-4a26-b43e-d6b833049656-fd84ab05-cdff-46d7-bc4e-1dd33518cb59'],RELEVANT,"{'ResponseMetadata': {'RequestId': '0309d9de-d9c2-4267-94a3-b8fa9684fbc1', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0309d9de-d9c2-4267-94a3-b8fa9684fbc1', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:53:17 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 13:49:02,1deb34bf-b5c7-4a26-b43e-d6b833049656,['1deb34bf-b5c7-4a26-b43e-d6b833049656-fd84ab05-cdff-46d7-bc4e-1dd33518cb59'],RELEVANT,"{'ResponseMetadata': {'RequestId': 'd43381f1-5b7f-4c92-a9ae-39649991ef4f', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd43381f1-5b7f-4c92-a9ae-39649991ef4f', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:49:01 GMT'}, 'RetryAttempts': 1}}"
2023-08-14 13:50:25,155323b3-0b4c-4644-a14f-803c688ca9a2,['155323b3-0b4c-4644-a14f-803c688ca9a2-a319987f-eb28-48c7-97b1-762461651fdf'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '143a74ba-30bc-441e-9dc3-8341f6d31ea6', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '143a74ba-30bc-441e-9dc3-8341f6d31ea6', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:50:25 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 13:52:00,7a63d363-917f-4e46-a5cf-5e998af661e5,['7a63d363-917f-4e46-a5cf-5e998af661e5-50886e38-250a-41ed-bf24-b3590f1ee5f2'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '887ac931-d898-4c66-b1f2-0404d7afbdb9', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '887ac931-d898-4c66-b1f2-0404d7afbdb9', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:51:59 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 13:52:03,7a63d363-917f-4e46-a5cf-5e998af661e5,['7a63d363-917f-4e46-a5cf-5e998af661e5-50886e38-250a-41ed-bf24-b3590f1ee5f2'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': 'b4f4034f-4429-4ba5-a16f-8c2e7724e8f1', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'b4f4034f-4429-4ba5-a16f-8c2e7724e8f1', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:52:02 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 13:57:27,b5ecaf38-fc85-4799-88f1-4721e5b580a5,['b5ecaf38-fc85-4799-88f1-4721e5b580a5-9d9d8262-3c84-483f-a5ae-4299a25112f3'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '74e159bb-8463-4679-b802-31c1437d35bc', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '74e159bb-8463-4679-b802-31c1437d35bc', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:57:26 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 13:57:27,b5ecaf38-fc85-4799-88f1-4721e5b580a5,['b5ecaf38-fc85-4799-88f1-4721e5b580a5-9d9d8262-3c84-483f-a5ae-4299a25112f3'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '28e39dc3-d8f1-4520-abec-77da68da8075', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '28e39dc3-d8f1-4520-abec-77da68da8075', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:57:26 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 13:57:27,b5ecaf38-fc85-4799-88f1-4721e5b580a5,['b5ecaf38-fc85-4799-88f1-4721e5b580a5-9d9d8262-3c84-483f-a5ae-4299a25112f3'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': 'ff33ab90-814e-4e16-a566-de989ac43f5f', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ff33ab90-814e-4e16-a566-de989ac43f5f', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 05:57:27 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:04:04,1f411eba-699e-4964-9482-1bbf76d7fe64,['1f411eba-699e-4964-9482-1bbf76d7fe64-bba401d8-2a56-44d9-b43c-7c49c930d88b'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '96ebbe61-6517-4592-9dc6-4e03f5bc0f6f', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '96ebbe61-6517-4592-9dc6-4e03f5bc0f6f', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:04:04 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:04:06,1f411eba-699e-4964-9482-1bbf76d7fe64,['1f411eba-699e-4964-9482-1bbf76d7fe64-bba401d8-2a56-44d9-b43c-7c49c930d88b'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '12e40a89-c7ba-470b-9472-b95a013c7421', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '12e40a89-c7ba-470b-9472-b95a013c7421', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:04:06 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:04:32,e3439c7b-1bce-47e7-a3a5-79b61816a59c,['e3439c7b-1bce-47e7-a3a5-79b61816a59c-17c0ec3c-168f-4f38-8203-ffafea45bef5'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': 'ca44a0ff-4d0d-4cd0-89bd-2587a238f687', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ca44a0ff-4d0d-4cd0-89bd-2587a238f687', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:04:31 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:18:36,97e111f7-1035-482a-8724-ebbe7ac441c1,['97e111f7-1035-482a-8724-ebbe7ac441c1-17c705d6-7fb3-4fd1-85dd-d4217ffa9e5b'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '8b16bf05-a5b6-44b7-bfaa-23981e53d8db', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '8b16bf05-a5b6-44b7-bfaa-23981e53d8db', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:18:36 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:37:50,e9d02a0f-439d-4337-a1e8-256187d67371,['e9d02a0f-439d-4337-a1e8-256187d67371-7ab733e1-1611-44ca-9a04-b0d6a2cc316b'],RELEVANT,"{'ResponseMetadata': {'RequestId': '85317097-3a81-4a7d-bd70-4b2b4a7f81e7', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '85317097-3a81-4a7d-bd70-4b2b4a7f81e7', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:37:50 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:37:50,0bf51c67-8638-445c-ae5a-1c365bec5374,['0bf51c67-8638-445c-ae5a-1c365bec5374-f8d98c04-fc90-4ef2-9976-305a83d2be8b'],RELEVANT,"{'ResponseMetadata': {'RequestId': '6a0993fc-bd74-4410-b6f5-a8f15ad05d80', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '6a0993fc-bd74-4410-b6f5-a8f15ad05d80', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:37:50 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:43:00,a5ef9e55-47c5-41da-97aa-5acc7062709f,['a5ef9e55-47c5-41da-97aa-5acc7062709f-40e501ab-b174-4cd6-950c-7af877f5d731'],RELEVANT,"{'ResponseMetadata': {'RequestId': '034f4863-ac27-4323-9942-3d2861b42f64', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '034f4863-ac27-4323-9942-3d2861b42f64', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:42:59 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:43:02,0bf51c67-8638-445c-ae5a-1c365bec5374,['0bf51c67-8638-445c-ae5a-1c365bec5374-f8d98c04-fc90-4ef2-9976-305a83d2be8b'],RELEVANT,"{'ResponseMetadata': {'RequestId': '0f030522-99a4-462c-99c3-5b6329751b52', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0f030522-99a4-462c-99c3-5b6329751b52', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:43:01 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:49:56,aed52cda-d81d-4843-bd16-279a95159bb0,['aed52cda-d81d-4843-bd16-279a95159bb0-2558d439-17c3-4074-9e07-a7f3dde835a7'],RELEVANT,"{'ResponseMetadata': {'RequestId': '46dae819-5a89-4433-906e-6b583b92be15', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '46dae819-5a89-4433-906e-6b583b92be15', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:49:55 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 14:58:20,caefe8b1-8631-4ec8-95a7-4fbda765dee9,"['caefe8b1-8631-4ec8-95a7-4fbda765dee9-f39265cb-818c-45c4-b251-79ba178b0d92', 'caefe8b1-8631-4ec8-95a7-4fbda765dee9-2969ae85-4aba-4011-9088-a6c83f5b398c', 'caefe8b1-8631-4ec8-95a7-4fbda765dee9-db487d03-87c8-4547-9030-146fd749324e']",RELEVANT,"{'ResponseMetadata': {'RequestId': 'b635261d-a67f-46f0-b7e3-28c215d74243', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'b635261d-a67f-46f0-b7e3-28c215d74243', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 06:58:19 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 16:02:09,5abbfeb1-0fdb-4f09-8bdc-b11ed467d916,"['5abbfeb1-0fdb-4f09-8bdc-b11ed467d916-4780790d-d21c-4af6-88be-e9a52fe24acf', '5abbfeb1-0fdb-4f09-8bdc-b11ed467d916-6fb2744f-a305-4171-a3ab-9b2ce3be3049', '5abbfeb1-0fdb-4f09-8bdc-b11ed467d916-7a3419d2-972a-4353-91a4-fba0ee742b15']",RELEVANT,"{'ResponseMetadata': {'RequestId': '6cfaa17a-5830-4ef5-842a-37f2780e5f92', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '6cfaa17a-5830-4ef5-842a-37f2780e5f92', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 08:02:08 GMT'}, 'RetryAttempts': 0}}"
